x;y
-2; 109 
-3; 97 
0; 108 
-4; 111 
0; 90 
-1; 101 
-3; 92 
0; 108 
-1; 103 
4; 81 
0; 93 
0; 95 
0; 110 
-1; 97 
1; 86 
1; 107 
-2; 111 
0; 106 
0; 97 
0; 96 
0; 84 
-2; 91 
3; 87 
-1; 108 
0; 101 
0; 98 
-1; 89 
0; 109 
0; 96 
0; 100 
2; 111 
0; 95 
-5; 82 
-1; 105 
0; 90 
0; 83 
1; 114 
0; 100 
0; 89 
3; 101 
0; 70 
2; 105 
1; 88 
4; 89 
-1; 85 
-5; 114 
1; 104 
3; 95 
2; 92 
-2; 126 
0; 88 
1; 100 
0; 116 
0; 96 
-2; 110 
1; 85 
4; 90 
-1; 104 
-1; 99 
-2; 93 
0; 88 
3; 105 
-1; 102 
0; 99 
0; 90 
-1; 72 
1; 104 
1; 107 
-2; 109 
2; 111 
0; 103 
0; 104 
-1; 89 
-1; 104 
-1; 104 
1; 112 
0; 111 
2; 112 
0; 106 
3; 98 
5; 94 
-1; 111 
-3; 93 
-2; 94 
1; 86 
0; 102 
0; 99 
0; 96 
-1; 121 
0; 125 
0; 104 
4; 93 
-1; 92 
-2; 85 
-1; 114 
0; 87 
0; 106 
-1; 90 
0; 97 
-5; 117 
-1; 114 
0; 101 
0; 96 
1; 107 
2; 96 
0; 102 
1; 96 
2; 95 
0; 102 
0; 99 
4; 107 
0; 108 
-1; 100 
-3; 107 
5; 104 
1; 102 
3; 82 
1; 91 
-3; 96 
0; 105 
-3; 110 
1; 100 
-2; 117 
2; 120 
0; 96 
0; 107 
2; 87 
-1; 100 
0; 114 
-1; 122 
0; 123 
0; 102 
1; 112 
0; 103 
-2; 93 
-2; 87 
0; 107 
0; 100 
0; 107 
0; 119 
0; 109 
0; 76 
-3; 112 
4; 112 
-1; 101 
0; 86 
-3; 108 
1; 114 
2; 103 
-1; 102 
2; 95 
2; 121 
-1; 86 
2; 108 
0; 88 
-2; 109 
1; 116 
1; 94 
2; 82 
0; 106 
0; 96 
2; 91 
-3; 72 
2; 112 
1; 94 
1; 92 
1; 110 
-3; 90 
-1; 105 
-3; 99 
0; 99 
-1; 103 
2; 100 
1; 99 
0; 97 
0; 111 
2; 114 
1; 89 
0; 106 
4; 101 
-1; 99 
-1; 97 
-3; 91 
0; 94 
0; 99 
-1; 103 
1; 89 
-1; 100 
0; 112 
0; 102 
-1; 101 
0; 91 
1; 93 
1; 116 
2; 99 
-2; 98 
0; 109 
0; 95 
0; 101 
-2; 119 
1; 89 
0; 107 
0; 94 
3; 82 
-4; 93 
2; 99 
-1; 89 
1; 91 
-2; 106 
0; 101 
1; 91 
0; 114 
0; 90 
0; 106 
1; 98 
-1; 108 
-1; 90 
0; 85 
4; 93 
1; 88 
0; 111 
-1; 101 
1; 104 
-3; 90 
-3; 113 
0; 105 
0; 94 
0; 91 
-1; 100 
0; 105 
3; 106 
1; 98 
-2; 108 
-6; 99 
-1; 108 
0; 105 
-2; 92 
-3; 105 
0; 87 
2; 80 
0; 108 
-2; 94 
0; 110 
0; 106 
4; 94 
0; 92 
0; 89 
0; 80 
0; 100 
-3; 116 
1; 98 
-1; 129 
-1; 100 
1; 94 
1; 84 
0; 109 
0; 90 
-4; 106 
-1; 102 
-1; 112 
-3; 97 
0; 106 
4; 104 
0; 117 
1; 106 
1; 100 
1; 113 
-1; 99 
0; 80 
1; 89 
1; 98 
0; 113 
-3; 97 
-1; 106 
-1; 94 
0; 96 
0; 92 
1; 99 
-2; 99 
2; 103 
3; 104 
0; 94 
-2; 98 
0; 90 
2; 88 
0; 103 
0; 96 
-4; 80 
0; 103 
0; 98 
1; 106 
0; 107 
2; 95 
4; 109 
0; 112 
1; 108 
1; 104 
2; 93 
-1; 100 
1; 96 
0; 94 
0; 89 
0; 103 
1; 100 
0; 106 
3; 107 
0; 95 
2; 87 
2; 108 
1; 107 
0; 92 
0; 95 
1; 110 
-4; 84 
3; 112 
1; 108 
0; 88 
-2; 109 
0; 101 
0; 105 
0; 86 
1; 91 
1; 94 
1; 112 
-3; 96 
-1; 106 
2; 93 
0; 92 
-1; 95 
-2; 103 
-2; 90 
2; 101 
-1; 90 
0; 98 
0; 108 
0; 106 
0; 102 
-4; 103 
-4; 98 
0; 107 
1; 103 
0; 93 
0; 78 
0; 113 
0; 86 
3; 96 
0; 104 
-2; 88 
3; 93 
-1; 104 
0; 95 
3; 97 
-1; 102 
-2; 86 
0; 100 
1; 104 
-1; 97 
3; 107 
0; 103 
-2; 92 
0; 101 
0; 99 
4; 105 
-2; 101 
2; 120 
0; 89 
2; 97 
-2; 97 
1; 115 
0; 86 
0; 106 
0; 105 
-1; 79 
-1; 109 
2; 95 
-1; 105 
4; 112 
3; 94 
0; 82 
-2; 83 
-4; 96 
-3; 93 
0; 105 
0; 104 
1; 103 
-1; 112 
-2; 101 
-1; 108 
-2; 94 
-2; 88 
-1; 98 
-2; 114 
0; 100 
-1; 98 
-1; 96 
2; 85 
-2; 92 
3; 110 
-2; 98 
-1; 84 
-1; 96 
0; 95 
4; 123 
1; 82 
2; 91 
-1; 103 
1; 90 
1; 91 
1; 88 
1; 94 
0; 98 
-2; 112 
-2; 100 
-1; 88 
1; 102 
0; 112 
4; 83 
-4; 81 
-1; 84 
-3; 93 
-3; 105 
1; 85 
2; 81 
-1; 100 
-1; 92 
-1; 86 
0; 92 
0; 100 
1; 108 
-5; 115 
-2; 102 
-1; 101 
3; 90 
0; 102 
0; 101 
0; 84 
-1; 95 
1; 86 
-2; 107 
0; 100 
2; 113 
3; 100 
0; 98 
-1; 110 
-5; 98 
2; 92 
0; 89 
0; 100 
1; 101 
-2; 115 
-1; 107 
-2; 95 
-2; 113 
1; 106 
1; 95 
